day_of_week,dow_name,hour,total_readings,active_hours,active_pct
5,Saturday,6,52,34,65.38
5,Saturday,7,52,36,69.23
5,Saturday,8,52,35,67.31
5,Saturday,9,52,40,76.92
5,Saturday,10,52,35,67.31
5,Saturday,11,52,37,71.15
5,Saturday,12,52,30,57.69
5,Saturday,13,52,36,69.23
5,Saturday,14,52,38,73.08
5,Saturday,15,52,39,75.0
5,Saturday,16,52,34,65.38
5,Saturday,17,52,38,73.08
5,Saturday,18,52,34,65.38
5,Saturday,19,52,37,71.15
5,Saturday,20,52,34,65.38
5,Saturday,21,52,9,17.31
5,Saturday,22,52,8,15.38
5,Saturday,23,52,9,17.31
6,Sunday,0,52,11,21.15
6,Sunday,1,52,11,21.15
6,Sunday,2,52,8,15.38
6,Sunday,3,52,12,23.08
6,Sunday,4,52,10,19.23
6,Sunday,5,52,11,21.15
6,Sunday,6,52,44,84.62
6,Sunday,7,52,31,59.62
6,Sunday,8,52,36,69.23
6,Sunday,9,52,39,75.0
6,Sunday,10,52,38,73.08
6,Sunday,11,52,39,75.0
6,Sunday,12,52,34,65.38
6,Sunday,13,52,36,69.23
6,Sunday,14,52,40,76.92
6,Sunday,15,52,41,78.85
6,Sunday,16,52,36,69.23
6,Sunday,17,52,39,75.0
6,Sunday,18,52,37,71.15
6,Sunday,19,52,35,67.31
6,Sunday,20,52,35,67.31
6,Sunday,21,52,11,21.15
6,Sunday,22,52,12,23.08
6,Sunday,23,52,8,15.38
